Authors,Year,Title,Abstract,Journal
"Dicko, Alassane, Ouedraogo, Jean-Bosco, Zongo, Issaka, Sagara, Issaka, Cairns, Matthew, Yerbanga, Rakiswendé Serge, Issiaka, Djibrilla, Zoungrana, Charles, Sidibe, Youssoufa, Tapily, Amadou, Nikièma, Frédéric, Sompougdou, Frédéric, Sanogo, Koualy, Kaya, Mahamadou, Yalcouye, Hama, Dicko, Oumar Mohamed, Diarra, Modibo, Diarra, Kalifa, Thera, Ismaila, Haro, Alassane, Sienou, Abdoul Aziz, Traore, Seydou, Mahamar, Almahamoudou, Dolo, Amagana, Kuepfer, Irene, Snell, Paul, Grant, Jane, Webster, Jayne, Milligan, Paul, Lee, Cynthia, Ockenhouse, Christian, Ofori-Anyinam, Opokua, Tinto, Halidou, Djimde, Abdoulaye, Chandramohan, Daniel, Greenwood, Brian",2024,"Seasonal vaccination with RTS,S/AS01E vaccine with or without seasonal malaria chemoprevention in children up to the age of 5 years in Burkina Faso and Mali: a double-blind, randomised, controlled, phase 3 trial","BackgroundSeasonal vaccination with the RTS,S/AS01E vaccine combined with seasonal malaria chemoprevention (SMC) prevented malaria in young children more effectively than either intervention given alone over a 3 year period. The objective of this study was to establish whether the added protection provided by the combination could be sustained for a further 2 years.",The Lancet Infectious Diseases
"Silk, Sarah E., Kalinga, Wilmina F., Mtaka, Ivanny M., Lilolime, Nasoro S., Mpina, Maximillian, Milando, Florence, Ahmed, Saumu, Diouf, Ababacar, Mkwepu, Fatuma, Simon, Beatus, Athumani, Thabit, Rashid, Mohammed, Mohammed, Latipha, Lweno, Omary, Ali, Ali M., Nyaulingo, Gloria, Mwalimu, Bakari, Mswata, Sarah, Mwamlima, Tunu G., Barrett, Jordan R., Wang, Lawrence T., Themistocleous, Yrene, King, Lloyd D. W., Hodgson, Susanne H., Payne, Ruth O., Nielsen, Carolyn M., Lawrie, Alison M., Nugent, Fay L., Cho, Jee-Sun, Long, Carole A., Miura, Kazutoyo, Draper, Simon J., Minassian, Angela M., Olotu, Ally I.",2023,Superior antibody immunogenicity of a RH5 blood-stage malaria vaccine in Tanzanian infants as compared to adults,"Background RH5 is the leading blood-stage candidate antigen for inclusion in a Plasmodium falciparum malaria vaccine, however, its safety profile and ability to induce functional immune responses in a malaria-endemic population are unknown. Characterising safety and immunogenicity is key to refine and progress next-generation RH5-based blood-stage malaria vaccines to field efficacy assessment. Methods A Phase 1b, single-center, dose-escalation, age de-escalation, double-blind, randomized, controlled trial was conducted in Bagamoyo, Tanzania. Healthy adults (18-35 years), young children (1-6 years) and infants (6-11 months) were recruited to receive a priming dose of viral-vectored ChAd63 RH5 (or rabies control vaccine) followed by a booster dose of MVA RH5 (or rabies control vaccine) 8 weeks later. The primary outcomes were the number of solicited and unsolicited adverse events following vaccination and the number of serious adverse events over the whole study period. Secondary outcomes included quantitative and qualitative measures of the anti-RH5 immune response. All participants receiving at least one dose of vaccine were included in the primary analyses. Findings Between 12th April and 25th October 2018 a total of 63 adults, children and infants were recruited and primed and 60 of these were boosted, all completing six months of follow-up post-priming vaccination. Vaccinations were well-tolerated with participants reporting predominantly mild reactogenicity, with profiles comparable between ChAd63 RH5, MVA RH5 and rabies vaccine groups, and across the age groups. No serious adverse events were reported during the study period. RH5-specific T cell, B cell and serum antibody responses were induced by vaccination. Higher anti-RH5 serum IgG responses were observed post-boost in the 1-6 year old children (median 93 microg/mL; range: 31-508 microg/mL) and infants (median 149 microg/mL; range: 29-352 microg/mL) as compared to adults (median 14 microg/mL; range: 9-15 microg/mL). These contracted over time post-boost, but the same hierarchy of responses across the age groups was maintained to end of follow-up at 16 weeks post-boost (day 168). Vaccine-induced anti-RH5 antibodies were functional showing growth inhibition activity (GIA) in vitro against P. falciparum blood-stage parasites. The highest levels were observed in the 6-11 month old infants, with 6/11 showing >60% GIA following dilution of total IgG to 2.5 mg/mL (median 61%; range: 41-78%). Interpretation The ChAd63-MVA RH5 vaccine regimen shows an acceptable safety and reactogenicity profile and encouraging immunogenicity in children and infants residing in a malaria-endemic area. The levels of functional GIA observed in the RH5 vaccinated 6-11 month old infants are the highest levels reported to-date following human vaccination. These data support onward clinical development of RH5-based blood-stage vaccines that aim to protect against clinical malaria in young African infants. Funding Medical Research Council, London, United Kingdom.Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY 4.0 International license.",medRxiv
"Liang, Y., Driscoll, A. J., Patel, P. D., Datta, S., Voysey, M., French, N., Jamka, L. P., Henrion, M. Y. R., Ndeketa, L., Laurens, M. B., Heyderman, R. S., Gordon, M. A., Neuzil, K. M.",2023,"Typhoid conjugate vaccine effectiveness in Malawi: evaluation of a test-negative design using randomised, controlled clinical trial data","BACKGROUND: Typhoid conjugate vaccines are being introduced in low-income and middle-income countries to prevent typhoid illness in children. Vaccine effectiveness studies assess vaccine performance after introduction. The test-negative design is a commonly used method to estimate vaccine effectiveness that has not been applied to typhoid vaccines because of concerns over blood culture insensitivity. The overall aim of the study was to evaluate the appropriateness of using a test-negative design to assess typhoid Vi polysaccharide-tetanus toxoid conjugate vaccine (Vi-TT) effectiveness using a gold standard randomised controlled trial database. METHODS: Using blood culture data from a randomised controlled trial of Vi-TT in Malawi, we simulated a test-negative design to derive vaccine effectiveness estimates using three different approaches and compared these to randomised trial efficacy results. In the randomised trial, 27 882 children aged 9 months to 12 years were randomly assigned (1:1) to receive a single dose of Vi-TT or meningococcal capsular group A conjugate vaccine between Feb 21 and Sept 27, 2018, and were followed up for blood culture-confirmed typhoid fever until Sept 30, 2021. FINDINGS: For all three test-negative design approaches, vaccine effectiveness estimates (test-negative design A, 80.3% [95% CI 66.2 to 88.5] vs test-negative design B, 80.5% [66.5 to 88.6] vs test-negative design C, 80.4% [66.9 to 88.4]) were almost identical to the randomised trial results (80.4% [95% CI 66.4 to 88.5]). Receipt of Vi-TT did not affect the risk of non-typhoid fever (vaccine efficacy against non-typhoid fever -0.4% [95% CI -4.9 to 3.9] vs -1% [-5.6 to 3.3] vs -2.5% [-6.4 to 1.3] for test-negative design A, test-negative design B, and test-negative design C, respectively). INTERPRETATION: This study validates the test-negative design core assumption for typhoid vaccine effectiveness estimation and shows the accuracy and precision of the estimates compared with the randomised controlled trial. These results show that the test-negative design is suitable for assessing typhoid conjugate vaccine effectiveness in post-introduction studies using blood culture surveillance. FUNDING: Bill & Melinda Gates Foundation.",Lancet Glob Health
"Chauwa, A., Bosomprah, S., Laban, N. M., Phiri, B., Chibuye, M., Chilyabanyama, O. N., Munsaka, S., Simuyandi, M., Mwape, I., Mubanga, C., Chobe, M. C., Chisenga, C., Chilengi, R.",2023,Maternal and Infant Histo-Blood Group Antigen (HBGA) Profiles and Their Influence on Oral Rotavirus Vaccine (Rotarix(TM)) Immunogenicity among Infants in Zambia,"Live-attenuated, oral rotavirus vaccines have significantly reduced rotavirus-associated diarrhoea morbidity and infant mortality. However, vaccine immunogenicity is diminished in low-income countries. We investigated whether maternal and infant intrinsic susceptibility to rotavirus infection via histo-blood group antigen (HBGA) profiles influenced rotavirus (ROTARIX((R))) vaccine-induced responses in Zambia. We studied 135 mother-infant pairs under a rotavirus vaccine clinical trial, with infants aged 6 to 12 weeks at pre-vaccination up to 12 months old. We determined maternal and infant ABO/H, Lewis, and secretor HBGA phenotypes, and infant FUT2 HBGA genotypes. Vaccine immunogenicity was measured as anti-rotavirus IgA antibody titres. Overall, 34 (31.3%) children were seroconverted at 14 weeks, and no statistically significant difference in seroconversion was observed across the various HBGA profiles in early infant life. We also observed a statistically significant difference in rotavirus-IgA titres across infant HBGA profiles at 12 months, though no statistically significant difference was observed between the study arms. There was no association between maternal HBGA profiles and infant vaccine immunogenicity. Overall, infant HBGAs were associated with RV vaccine immunogenicity at 12 months as opposed to in early infant life. Further investigation into the low efficacy of ROTARIX((R)) and appropriate intervention is key to unlocking the full vaccine benefits for U5 children.",Vaccines (Basel)
"Mwesigwa, B., Houser, K. V., Hofstetter, A. R., Ortega-Villa, A. M., Naluyima, P., Kiweewa, F., Nakabuye, I., Yamshchikov, G. V., Andrews, C., O'Callahan, M., Strom, L., Schech, S., Anne Eller, L., Sondergaard, E. L., Scott, P. T., Amare, M. F., Modjarrad, K., Wamala, A., Tindikahwa, A., Musingye, E., Nanyondo, J., Gaudinski, M. R., Gordon, I. J., Holman, L. A., Saunders, J. G., Costner, P. J. M., Mendoza, F. H., Happe, M., Morgan, P., Plummer, S. H., Hickman, S. P., Vazquez, S., Murray, T., Cordon, J., Dulan, C. N. M., Hunegnaw, R., Basappa, M., Padilla, M., Gajjala, S. R., Swanson, P. A., 2nd, Lin, B. C., Coates, E. E., Gall, J. G., McDermott, A. B., Koup, R. A., Mascola, J. R., Ploquin, A., Sullivan, N. J., Kibuuka, H., Ake, J. A., Ledgerwood, J. E., Team, R. V. Study",2023,"Safety, tolerability, and immunogenicity of the Ebola Sudan chimpanzee adenovirus vector vaccine (cAd3-EBO S) in healthy Ugandan adults: a phase 1, open-label, dose-escalation clinical trial","BACKGROUND: Sudan Ebola virus can cause severe viral disease, with an average case fatality rate of 54%. A recent outbreak of Sudan Ebola virus in Uganda caused 55 deaths among 164 confirmed cases in the second half of 2022. Although vaccines and therapeutics specific for Zaire Ebola virus have been approved for use during outbreak situations, Sudan Ebola virus is an antigenically distinct virus with no approved vaccines available. METHODS: In this phase 1, open-label, dose-escalation trial we evaluated the safety, tolerability, and immunogenicity of a monovalent chimpanzee adenovirus 3 vaccine against Sudan Ebola virus (cAd3-EBO S) at Makerere University Walter Reed Project in Kampala, Uganda. Study participants were recruited from the Kampala metropolitan area using International Review Board-approved written and electronic media explaining the trial intervention. Healthy adults without previous receipt of Ebola, Marburg, or cAd3 vectored-vaccines were enrolled to receive cAd3-EBO S at either 1 x 10(10) or 1 x 10(11) particle units (PU) in a single intramuscular vaccination and were followed up for 48 weeks. Primary safety and tolerability endpoints were assessed in all vaccine recipients by reactogenicity for the first 7 days, adverse events for the first 28 days, and serious adverse events throughout the study. Secondary immunogenicity endpoints included evaluation of binding antibody and T-cell responses against the Sudan Ebola virus glycoprotein, and neutralising antibody responses against the cAd3 vector at 4 weeks after vaccination. This study is registered with ClinicalTrials.gov, NCT04041570, and is completed. FINDINGS: 40 healthy adults were enrolled between July 22 and Oct 1, 2019, with 20 receiving 1 x 10(10) PU and 20 receiving 1 x 10(11) PU of cAd3-EBO S. 38 (95%) participants completed all follow-up visits. The cAd3-EBO S vaccine was well tolerated with no severe adverse events. The most common reactogenicity symptoms were pain or tenderness at the injection site (34 [85%] of 40), fatigue (29 [73%] of 40), and headache (26 [65%] of 40), and were mild to moderate in severity. Positive responses for glycoprotein-specific binding antibodies were induced by 2 weeks in 31 (78%) participants, increased to 34 (85%) participants by 4 weeks, and persisted to 48 weeks in 31 (82%) participants. Most participants developed glycoprotein-specific T-cell responses (20 [59%, 95% CI 41-75] of 34; six participants were removed from the T cell analysis after failing quality control parameters) by 4 weeks after vaccination, and neutralising titres against the cAd3 vector were also increased from baseline (90% inhibitory concentration of 47, 95% CI 30-73) to 4 weeks after vaccination (196, 125-308). INTERPRETATION: The cAd3-EBO S vaccine was safe at both doses, rapidly inducing immune responses in most participants after a single injection. The rapid onset and durability of the vaccine-induced antibodies make this vaccine a strong candidate for emergency deployment in Sudan Ebola virus outbreaks. FUNDING: National Institutes of Health via interagency agreement with Walter Reed Army Institute of Research.",Lancet Infect Dis
"Sagara, I., Healy, S. A., Assadou, M. H., Kone, M., Swihart, B. J., Kwan, J. L., Fintzi, J., Sissoko, K., Kamate, B., Samake, Y., Guindo, M. A., Doucoure, M., Niare, K., Dolo, A., Diarra, B., Rausch, K. M., Narum, D. L., Jones, D. S., MacDonald, N. J., Zhu, D., Gorres, J. P., Imeru, A., Mohan, R., Thera, I., Zaidi, I., Salazar-Miralles, F., Duan, J., Neal, J., Morrison, R. D., Muratova, O., Sylla, D., O'Connell, E. M., Wu, Y., Hume, J. C. C., Coulibaly, M. B., Anderson, C. F., Traore, S. F., Doumbo, O. K., Duffy, P. E.",2023,"Malaria transmission-blocking vaccines Pfs230D1-EPA and Pfs25-EPA in Alhydrogel in healthy Malian adults; a phase 1, randomised, controlled trial","BACKGROUND: Malaria transmission-blocking vaccines target mosquito-stage parasites and will support elimination programmes. Gamete vaccine Pfs230D1-EPA/Alhydrogel induced superior activity to zygote vaccine Pfs25-EPA/Alhydrogel in malaria-naive US adults. Here, we compared these vaccines in malaria-experienced Malians. METHODS: We did a pilot safety study then double-blind, block-randomised, comparator-controlled main-phase trial in malaria-intense Bancoumana, Mali. 18-50-year-old healthy non-pregnant, non-breastfeeding consenting adult residents were randomly assigned (1:1:1:1) to receive four doses at months 0, 1, 4.5, and 16.5 of either 47 mug Pfs25, 40 mug Pfs230D1 or comparator (Twinrix or Menactra)-all co-administered with normal saline for blinding-or 47 mug Pfs25 plus 40 mug Pfs230D1 co-administered. We documented safety and tolerability (primary endpoint in the as-treated populations) and immunogenicity (secondary endpoint in the as-treated populations: ELISA, standard-membrane-feeding assay, and mosquito direct skin feed assay). This trial is registered at ClinicalTrials.gov, NCT02334462. FINDINGS: Between March 19, and June 2, 2015, we screened 471 individuals. Of 225 enrolled for the pilot and main cohorts, we randomly assigned 25 participants to pilot safety cohort groups of five (20%) to receive a two-dose series of Pfs25-EPA/Alhydrogel (16 mug), Pfs230D1-EPA/Alhydrogel (15 mug) or comparator, followed by Pfs25-EPA/Alhydrogel (16 mug) plus Pfs230D1-EPA/Alhydrogel (15 mug) or comparator plus saline. For the main cohort, we enrolled 200 participants between May 11 and June 2, 2015, to receive a four-dose series of 47 mug Pfs25-EPA/Alhydrogel plus saline (n=50 [25%]; Pfs25), 40 mug Pfs230D1-EPA/Alhydrogel plus saline (n=49 [25%]; Pfs230D1), 47 mug Pfs25-EPA/Alhydrogel plus 40 mug Pfs230D1-EPA/Alhydrogel (n=50 [25%]; Pfs25 plus Pfs230D1), or comparator (Twinrix or Menactra) plus saline (n=51 [25%]). Vaccinations were well tolerated in the pilot safety and main phases. Most vaccinees became seropositive after two Pfs230D1 or three Pfs25 doses; peak titres increased with each dose thereafter (Pfs230D1 geometric mean: 77.8 [95% CI 56.9-106.3], 146.4 [108.3-198.0], and 410.2 [301.6-558.0]; Pfs25 geometric mean 177.7 [130.3-242.4] and 315.7 [209.9-474.6]). Functional activity (mean peak transmission-reducing activity) appeared for Pfs230D1 (74.5% [66.6-82.5]) and Pfs25 plus Pfs230D1 (68.6% [57.3-79.8]), after the third dose and after the fourth dose (88.9% [81.7-96.2] for Pfs230D1 and 85.0% [78.4-91.5] Pfs25 plus Pfs230D1) but not for Pfs25 (58.2% [49.1-67.3] after the third dose and 58.2% [48.5-67.9] after the fourth dose). Pfs230D1 transmission-reducing activity (73.7% [64.1-83.3]) persisted 10 weeks after the fourth dose. Transmission-reducing activity of 80% was estimated at 1659 ELISA units for Pfs25, 218 for Pfs230D1, and 223 for Pfs230D1 plus Pfs25. After 3850 direct skin feed assays, 35 participants (12 Pfs25, eight Pfs230D1, five Pfs25 plus Pfs230D1, and ten comparator) had transmitted parasites at least once. The proportion of positive assays in vaccine groups (Pfs25 33 [3%] of 982 [-0.013 to 0.014], Pfs230D1 22 [2%] of 954 [-0.005 to 0.027], and combination 11 [1%] of 940 [-0.024 to 0.002]) did not differ from that of the comparator (22 [2%] of 974), nor did Pfs230D1 and combination groups differ (-0.024 to 0.001). INTERPRETATION: Pfs230D1 but not Pfs25 vaccine induces durable serum functional activity in Malian adults. Direct skin feed assays detect parasite transmission to mosquitoes but increased event rates are needed to assess vaccine effectiveness. FUNDING: Intramural Research Program of the National Institute of Allergy and Infectious Diseases and US National Institutes of Health.",Lancet Infect Dis
"Dayan, Gustavo H., Rouphael, Nadine, Walsh, Stephen R., Chen, Aiying, Grunenberg, Nicole, Allen, Mary, Antony, Johannes, Asante, Kwaku Poku, Bhate, Amit Suresh, Beresnev, Tatiana, Bonaparte, Matthew I., Celle, Médéric, Ceregido, Maria Angeles, Corey, Lawrence, Dobrianskyi, Dmytro, Fu, Bo, Grillet, Marie-Helene, Keshtkar-Jahromi, Maryam, Juraska, Michal, Kee, Jia Jin, Kibuuka, Hannah, Koutsoukos, Marguerite, Masotti, Roger, Michael, Nelson L., Neuzil, Kathleen M., Reynales, Humberto, Robb, Merlin L., Villagómez Martínez, Sandra M., Sawe, Fredrick, Schuerman, Lode, Tong, Tina, Treanor, John, Wartel, T. Anh, Diazgranados, Carlos A., Chicz, Roman M., Gurunathan, Sanjay, Savarino, Stephen, Sridhar, Saranya, Abalos, Karina, Accini, Jose, Aloysia, Naveena, Amuasi, John Humphrey, Ansah, Nana Akosua, Benkeser, David, Berge, Aude, Beyko, Hanna, Bilotkach, Oleksandra, Breuer, Thomas, Bonfanti, Alberto Cadena, Bukusi, Elisabeth, Canter, Richard, Carrillo, Jaime Augusto, Chansinghakul, Danaya, Coux, Florence, Das, Chandan, Das, Santa Kumar, Devlin, Louis, Espinoza, Luis, Fay, Michael, Follmann, Dean, Frago, Carina, Garinga, Agnes, Gilbert, Peter B., Gonzalez, Claudia, Granados, Maria Angelica, Guillery, Lea, Huang, Ying, Hudzina, Kathy, Jain, Manish, Kanodia, Piush, Khandelwal, Nitin, Mutuluuza, Cissy Kityo, Kiweewa, Francis, Kiwanuka, Noah, Kosolsak, Chalit, Kukian, Darshna, Kushwaha, Jitendra Singh, Laot, Thelma, Lopez-Medina, Eduardo, Macareno Arroyo, Hugo, Mandaliya, Kishorchandra, Mamod, Stephanie, Mangarule, Somnath, Martínez, Javier, McClelland, Scott, Menard, Lisa, Mendoza, Sandra, Mohapatra, Satyajit, Moreau, Catherine, Mugo, Nelly, Nduba, Videlis, Noriega, Fernando, Ntege, Patricia Nahirya, Okech, Brenda, Otero, Maria, Ouma, Samuel Gurrion, Oyieko, Janet, Paredes, Mercedes, Pardo, Erwin, Postol, Svitlana, Pekala, David, Peng, Penny, Py, Marie-Laure, Rivas, Enrique, Rivero, Rafael, Rodriguez, Edith, Saleh, Mansoor, Sánchez, Pedro, Sater, Nessryne, Shah, Jinen, Shrestha, Rajeev, Siika, Abraham, Singh, Chandramani, Singh, Veer Bahadur, Tamrakar, Dipesh, Tavares Da-Silva, Fernanda, Otieno Tina, Lucas, Velasquez, Hector, Wabwire, Deo, Wajja, Anne, Zaworski, Elodie, Zhang, Nianxian",2023,"Efficacy of a bivalent (D614+B.1.351) SARS-CoV-2 recombinant protein vaccine with AS03 adjuvant in adults: a phase 3, parallel, randomised, modified double-blind, placebo-controlled trial",BackgroundCOVID-19 vaccines with alternative strain compositions are needed to provide broad protection against newly emergent SARS-CoV-2 variants of concern. This study aimed to describe the clinical efficacy and safety of a bivalent SARS-CoV-2 recombinant protein vaccine as a two-injection primary series during a period of circulation of the omicron (B.1.1.529) variant.,The Lancet Respiratory Medicine
"Samoud, S., Bettaieb, J., Gdoura, M., Kharroubi, G., Ben Ghachem, F., Zamali, I., Ben Hmid, A., Salem, S., Gereisha, A. A., Dellagi, M., Hogga, N., Gharbi, A., Baccouche, A., Gharbi, M., Khemissi, C., Akili, G., Slama, W., Chaieb, N., Galai, Y., Louzir, H., Triki, H., Ben Ahmed, M.",2023,"Immunogenicity of Mix-and-Match CoronaVac/BNT162b2 Regimen versus Homologous CoronaVac/CoronaVac Vaccination: A Single-Blinded, Randomized, Parallel Group Superiority Trial","(1) Background: This study aimed to compare the immunogenicity of the mix-and-match CoronaVac/BNT162b2 vaccination to the homologous CoronaVac/CoronaVac regimen. (2) Methods: We conducted a simple-blinded randomized superiority trial to measure SARS-CoV-2 neutralization antibodies and anti-spike receptor binding domain (RBD) IgG concentrations in blood samples of participants who had received the first dose of CoronaVac vaccine followed by a dose of BNT162b2 or CoronaVac vaccine. The primary endpoint for immunogenicity was the serum-neutralizing antibody level with a percentage of inhibition at 90% at 21-35 days after the boost. A difference of 25% between groups was considered clinically relevant. (3) Results: Among the 240 eligible participants, the primary endpoint data were available for 100 participants randomly allocated to the mix-and-match group versus 99 participants randomly allocated to the homologous dose group. The mix-and-match regimen elicited significantly higher levels of neutralizing antibodies (median level of 96%, interquartile range (IQR) (95-97) versus median level of 94%, IQR (81-96) and anti-spike IgG antibodies (median level of 13,460, IQR (2557-29,930) versus median level of 1190, IQR (347-4964) compared to the homologous group. Accordingly, the percentage of subjects with a percentage of neutralizing antibodies > 90% was significantly higher in the mix-and-match group (90.0%) versus the homologous (60.6%). Interestingly, no severe events were reported within 30 days after the second dose of vaccination in both groups. (4) Conclusions: Our data showed the superiority of the mix-and-match CoronaVac/BNT162b2 vaccination compared to the CoronaVac/CoronaVac regimen in terms of immunogenicity, thus constituting a proof-of-concept study supporting the use of inactivated vaccines in a mix-and-match strategy while ensuring good immunogenicity and safety.",Vaccines (Basel)
"McMahon, W. C., Kwatra, G., Izu, A., Koen, A. L., Greffrath, J., Fairlie, L., Patel, F., Mukendi, C. K., Mbele, N. J., Lala, R., Burgers, W. A., Nunes, M. C., Cutland, C. L., Gilbert, S. C., Lambe, T., Pollard, A. J., Madhi, S. A.",2023,T-cell responses induced by ChAdOx1 nCoV-19 (AZD1222) vaccine to wild-type severe acute respiratory syndrome coronavirus 2 among people with and without HIV in South Africa,"OBJECTIVES: This study aimed to investigate severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)-specific T-cell responses 14 days after single-dose ChAdOx1 nCoV-19 (AZD1222) vaccination in black Africans with and without HIV in South Africa, as well as determine the effect of AZD1222 vaccination on cell-mediated immune responses in people with HIV (PWH) with prior SARS-CoV-2 infection. METHODS: A total of 70 HIV-uninfected people and 104 PWH were prospectively enrolled in the multicentre, randomized, double-blinded, placebo-controlled, phase Ib/IIa trial (COV005). Peripheral blood mononuclear cells (PBMCs) were collected from trial participants 14 days after receipt of first dose of study treatment (placebo or AZD1222 vaccine). T-cell responses against the full-length spike (FLS) glycoprotein of wild-type SARS-CoV-2 and mutated S-protein regions found in the Alpha, Beta and Delta variants were assessed using an ex-vivo ELISpot assay. RESULTS: Among AZD1222 recipients without preceding SARS-CoV-2 infection, T-cell responses to FLS of wild-type SARS-CoV-2 were similarly common in PWH and HIV-uninfected people (30/33, 90.9% vs. 16/21, 76.2%; P = 0.138); and magnitude of response was similar among responders (78 vs. 56 SFCs/106 PBMCs; P = 0.255). Among PWH, AZD1222 vaccinees with prior SARS-CoV-2 infection, displayed a heightened T-cell response magnitude compared with those without prior infection (186 vs. 78 SFCs/106 PBMCs; P = 0.001); and similar response rate (14/14, 100% vs. 30/33, 90.9%; P = 0.244). CONCLUSION: Our results indicate comparable T-cell responses following AZD1222 vaccination in HIV-uninfected people and PWH on stable antiretroviral therapy. Our results additionally show that hybrid immunity acquired through SARS-CoV-2 infection and AZD1222 vaccination, induce a heightened T-cell response.",AIDS
"Manno, D., Bangura, A., Baiden, F., Kamara, A. B., Ayieko, P., Kallon, J., Foster, J., Conteh, M., Connor, N. E., Koroma, B., Njie, Y., Borboh, P., Keshinro, B., Lawal, B. J., Kroma, M. T., Otieno, G. T., Deen, A. T., Choi, E. M., Balami, A. D., Gaddah, A., McLean, C., Luhn, K., Adetola, H. H., Deen, G. F., Samai, M., Lowe, B., Robinson, C., Leigh, B., Greenwood, B., Watson-Jones, D.",2023,"Safety and immunogenicity of an Ad26.ZEBOV booster dose in children previously vaccinated with the two-dose heterologous Ad26.ZEBOV and MVA-BN-Filo Ebola vaccine regimen: an open-label, non-randomised, phase 2 trial","BACKGROUND: Children account for a substantial proportion of cases and deaths during Ebola virus disease outbreaks. We aimed to evaluate the safety and immunogenicity of a booster dose of the Ad26.ZEBOV vaccine in children who had been vaccinated with a two-dose regimen comprising Ad26.ZEBOV as dose one and MVA-BN-Filo as dose two. METHODS: We conducted an open-label, non-randomised, phase 2 trial at one clinic in Kambia Town, Sierra Leone. Healthy children, excluding pregnant or breastfeeding girls, who had received the Ad26.ZEBOV and MVA-BN-Filo vaccine regimen in a previous study, and were aged 1-11 years at the time of their first vaccine dose, received an intramuscular injection of Ad26.ZEBOV (5 x 10(10) viral particles) and were followed up for 28 days. Primary outcomes were safety (measured by adverse events) and immunogenicity (measured by Ebola virus glycoprotein-specific IgG binding antibody geometric mean concentration) of the booster vaccine dose. Safety was assessed in all participants who received the booster vaccination; immunogenicity was assessed in all participants who received the booster vaccination, had at least one evaluable sample after the booster, and had no major protocol deviations that could have influenced the immune response. This trial is registered with ClinicalTrials.gov, NCT04711356. FINDINGS: Between July 8 and Aug 18, 2021, 58 children were assessed for eligibility and 50 (27 aged 4-7 years and 23 aged 9-15 years) were enrolled and received an Ad26.ZEBOV booster vaccination, more than 3 years after receiving dose one of the Ad26.ZEBOV and MVA-BN-Filo vaccine regimen. The booster was well tolerated. The most common solicited local adverse event during the 7 days after vaccination was injection site pain, reported in 18 (36%, 95% CI 23-51) of 50 participants. The most common solicited systemic adverse event during the 7 days after vaccination was headache, reported in 11 (22%, 12-36) of 50 participants. Malaria was the most common unsolicited adverse event during the 28 days after vaccination, reported in 25 (50%, 36-64) of 50 participants. No serious adverse events were observed during the study period. 7 days after vaccination, the Ebola virus glycoprotein-specific IgG binding antibody geometric mean concentration was 28 561 ELISA units per mL (95% CI 20 255-40 272), which was 44 times higher than the geometric mean concentration before the booster dose. 21 days after vaccination, the geometric mean concentration reached 64 690 ELISA units per mL (95% CI 48 356-86 541), which was 101 times higher than the geometric mean concentration before the booster dose. INTERPRETATION: A booster dose of Ad26.ZEBOV in children who had received the two-dose Ad26.ZEBOV and MVA-BN-Filo vaccine regimen more than 3 years earlier was well tolerated and induced a rapid and robust increase in binding antibodies against Ebola virus. These findings could inform Ebola vaccination strategies in paediatric populations. FUNDING: Innovative Medicines Initiative 2 Joint Undertaking. TRANSLATION: For the French translation of the abstract see Supplementary Materials section.",Lancet Infect Dis
